 2.66100000e-07 -7.37504823e-07  2.66100000e-07 -7.61197377e-07 
 2.68100000e-07 -7.37504823e-07  2.68100000e-07 -7.61197377e-07 
 2.70100000e-07 -7.37504823e-07  2.70100000e-07 -7.61197377e-07 
 2.72100000e-07 -7.37504823e-07  2.72100000e-07 -7.61197377e-07 
 2.74100000e-07 -7.37504823e-07  2.74100000e-07 -7.61197377e-07 
 2.76100000e-07 -7.37504823e-07  2.76100000e-07 -7.61197377e-07 
 2.78100000e-07 -7.37504823e-07  2.78100000e-07 -7.61197377e-07 
 2.80100000e-07 -7.37504823e-07  2.80100000e-07 -7.61197377e-07 
 2.82100000e-07 -7.37504823e-07  2.82100000e-07 -7.61197377e-07 
 2.84100000e-07 -7.37504823e-07  2.84100000e-07 -7.61197377e-07 
 2.86100000e-07 -7.37504823e-07  2.86100000e-07 -7.61197377e-07 
 2.88100000e-07 -7.37504823e-07  2.88100000e-07 -7.61197377e-07 
 2.90100000e-07 -7.37504823e-07  2.90100000e-07 -7.61197377e-07 
 2.92100000e-07 -7.37504823e-07  2.92100000e-07 -7.61197377e-07 
 2.94100000e-07 -7.37504823e-07  2.94100000e-07 -7.61197377e-07 
 2.96100000e-07 -7.37504823e-07  2.96100000e-07 -7.61197377e-07 
 2.98000000e-07 -7.37504823e-07  2.98000000e-07 -7.61197377e-07 
 2.98200000e-07 -7.36290318e-07  2.98200000e-07 -7.62640997e-07 
 2.98600000e-07 -7.33663044e-07  2.98600000e-07 -7.65836749e-07 
 2.99300000e-07 -7.28413804e-07  2.99300000e-07 -7.72307334e-07 
 3.00000000e-07 -7.21586584e-07  3.00000000e-07 -7.80695443e-07 
 3.00140000e-07 -7.21597402e-07  3.00140000e-07 -7.80677741e-07 
 3.00420000e-07 -7.21545214e-07  3.00420000e-07 -7.80737247e-07 
 3.00980000e-07 -7.21545259e-07  3.00980000e-07 -7.80737203e-07 
 3.02100000e-07 -7.21545112e-07  3.02100000e-07 -7.80737351e-07 
 3.04100000e-07 -7.21545112e-07  3.04100000e-07 -7.80737351e-07 
 3.06100000e-07 -7.21545112e-07  3.06100000e-07 -7.80737351e-07 
 3.08100000e-07 -7.21545112e-07  3.08100000e-07 -7.80737351e-07 
 3.10100000e-07 -7.21545112e-07  3.10100000e-07 -7.80737351e-07 
 3.12100000e-07 -7.21545112e-07  3.12100000e-07 -7.80737351e-07 
 3.14100000e-07 -7.21545112e-07  3.14100000e-07 -7.80737351e-07 
 3.16100000e-07 -7.21545112e-07  3.16100000e-07 -7.80737351e-07 
 3.18100000e-07 -7.21545112e-07  3.18100000e-07 -7.80737351e-07 
 3.20100000e-07 -7.21545112e-07  3.20100000e-07 -7.80737351e-07 
 3.22100000e-07 -7.21545112e-07  3.22100000e-07 -7.80737351e-07 
 3.24100000e-07 -7.21545112e-07  3.24100000e-07 -7.80737351e-07 
 3.26100000e-07 -7.21545112e-07  3.26100000e-07 -7.80737351e-07 
 3.28100000e-07 -7.21545112e-07  3.28100000e-07 -7.80737351e-07 
 3.30100000e-07 -7.21545112e-07  3.30100000e-07 -7.80737351e-07 
 3.32100000e-07 -7.21545112e-07  3.32100000e-07 -7.80737351e-07 
 3.34100000e-07 -7.21545112e-07  3.34100000e-07 -7.80737351e-07 
 3.36100000e-07 -7.21545112e-07  3.36100000e-07 -7.80737351e-07 
 3.38100000e-07 -7.21545112e-07  3.38100000e-07 -7.80737351e-07 
 3.40100000e-07 -7.21545112e-07  3.40100000e-07 -7.80737351e-07 
 3.42100000e-07 -7.21545112e-07  3.42100000e-07 -7.80737351e-07 
 3.44100000e-07 -7.21545112e-07  3.44100000e-07 -7.80737351e-07 
 3.46100000e-07 -7.21545112e-07  3.46100000e-07 -7.80737351e-07 
 3.48000000e-07 -7.21545112e-07  3.48000000e-07 -7.80737351e-07 
 3.48200000e-07 -7.19215673e-07  3.48200000e-07 -7.83564756e-07 
 3.48600000e-07 -7.12888394e-07  3.48600000e-07 -7.91031923e-07 
 3.49300000e-07 -6.89272401e-07  3.49300000e-07 -8.16961566e-07 
 3.50000000e-07 -6.51263527e-07  3.50000000e-07 -8.57788026e-07 
 3.50140000e-07 -6.51246589e-07  3.50140000e-07 -8.57794914e-07 
 3.50420000e-07 -6.51266194e-07  3.50420000e-07 -8.57786688e-07 
 3.50980000e-07 -6.51266199e-07  3.50980000e-07 -8.57786685e-07 
 3.52100000e-07 -6.51266205e-07  3.52100000e-07 -8.57786682e-07 
 3.54100000e-07 -6.51266205e-07  3.54100000e-07 -8.57786682e-07 
 3.56100000e-07 -6.51266205e-07  3.56100000e-07 -8.57786682e-07 
 3.58100000e-07 -6.51266205e-07  3.58100000e-07 -8.57786682e-07 
 3.60100000e-07 -6.51266205e-07  3.60100000e-07 -8.57786682e-07 
 3.62100000e-07 -6.51266205e-07  3.62100000e-07 -8.57786682e-07 
 3.64100000e-07 -6.51266205e-07  3.64100000e-07 -8.57786682e-07 
 3.66100000e-07 -6.51266205e-07  3.66100000e-07 -8.57786682e-07 
 3.68100000e-07 -6.51266205e-07  3.68100000e-07 -8.57786682e-07 
 3.70100000e-07 -6.51266205e-07  3.70100000e-07 -8.57786682e-07 
